signal_date,ticker,pattern,close,sma50,sma200,prev_high_close,volume,vol_avg20,entry_price,entry_band_low,entry_band_high,stop_pct,stop_price,pattern_family,score_trend,score_setup,score_volume,score_rsi,score_risk,signal_score,consensus_count
2026-01-28,COALINDIA.NS,A_breakout_40d,444.05,399.746,391.5955,432.3,17496873,9958969.6,444.05,444.05,452.931,7.0,412.9665,A,60.4,71.7,75.1,67.7,58.0,66.3,1.0
2026-01-28,GOLDBEES.NS,A_breakout_40d,135.82,112.094,93.0606,134.97,184193702,89909180.05,135.82,135.82,138.5364,7.0,126.3126,A,100.0,55.0,81.0,72.7,58.0,74.0,1.0
2026-01-28,HINDALCO.NS,A_breakout_40d,998.2,869.816,744.4317,961.85,12615677,5957686.85,998.2,998.2,1018.164,7.0,928.326,A,100.0,80.2,82.4,74.5,58.0,81.4,1.0
2026-01-28,VEDL.NS,A_breakout_40d,737.1,586.326,484.7928,705.45,26645434,16146549.3,737.1,737.1,751.842,7.0,685.503,A,100.0,85.9,73.0,85.7,58.0,81.8,1.0
2026-01-29,AXISBANK.NS,A_breakout_40d,1363.7,1273.374,1189.1493,1319.8,16107684,7418957.4,1363.7,1363.7,1390.974,7.0,1268.241,A,85.4,76.6,83.4,67.7,58.0,76.2,1.0
2026-01-29,COALINDIA.NS,A_breakout_40d,455.75,401.182,392.0013,444.05,16915601,10572515.7,455.75,455.75,464.865,7.0,423.8475,A,61.7,71.1,72.0,72.0,58.0,66.1,1.0
2026-01-29,GOLDBEES.NS,A_breakout_40d,146.53,113.0064,93.4249,135.82,271824296,101498202.3,146.53,146.53,149.4606,7.0,136.2729,A,100.0,100.0,93.6,78.9,58.0,89.3,1.0
2026-01-29,HINDALCO.NS,A_breakout_40d,1024.05,874.354,746.732,998.2,14615261,6511494.0,1024.05,1024.05,1044.531,7.0,952.3665,A,100.0,70.7,84.9,78.0,58.0,79.4,1.0
2026-01-29,JSWSTEEL.NS,A_breakout_40d,1237.5,1147.534,1086.2073,1222.0,2471027,1624713.65,1237.5,1237.5,1262.25,7.0,1150.875,A,78.2,60.1,70.4,67.2,58.0,67.1,1.0
2026-01-29,SBIN.NS,A_breakout_40d,1066.2,992.492,872.8695,1063.5,14800724,8911236.25,1066.2,1066.2,1087.524,7.0,991.566,A,100.0,52.0,73.2,70.0,58.0,71.6,1.0
2026-01-29,TATASTEEL.NS,A_breakout_40d,202.32,176.0648,165.2291,193.85,60610904,29390316.1,202.32,202.32,206.3664,7.0,188.1576,A,82.8,85.0,81.2,74.6,58.0,77.7,1.0
2026-01-29,VEDL.NS,A_breakout_40d,766.35,591.439,486.7718,737.1,30290476,17214811.95,766.35,766.35,781.677,7.0,712.7055,A,100.0,81.7,75.2,88.3,58.0,81.2,1.0
2026-01-30,AXISBANK.NS,A_breakout_40d,1370.4,1275.374,1190.6565,1363.7,14758482,8055760.9,1370.4,1370.4,1397.808,7.0,1274.472,A,85.6,53.9,76.6,68.7,58.0,68.7,1.0
2026-01-30,NESTLEIND.NS,A_breakout_40d,1332.4,1274.534,1217.3735,1319.9,5292100,1227051.7,1332.4,1332.4,1359.048,7.0,1239.132,A,73.5,57.6,100.0,61.9,58.0,70.4,1.0
2026-02-03,ADANIPORTS.NS,A_breakout_40d,1530.8,1465.426,1413.026,1522.8,11977119,2709352.25,1530.8,1530.8,1561.416,7.0,1423.644,A,68.5,54.2,100.0,63.0,58.0,68.1,1.0
2026-02-04,ADANIPORTS.NS,A_breakout_40d,1567.9,1467.066,1414.5685,1530.8,6632728,2957208.2,1567.9,1567.9,1599.258,7.0,1458.147,A,68.6,69.4,84.9,66.3,58.0,69.7,1.0
2026-02-04,ADANIPOWER.NS,A_breakout_40d,155.29,142.755,131.0407,148.76,78428934,19680757.45,155.29,155.29,158.3958,7.0,144.4197,A,94.7,85.1,100.0,68.4,58.0,84.4,1.0
