buy_signal_date,sell_signal_date,ticker,pattern,entry_price,target_return_pct,target_price,sell_price,realized_return_pct
2024-07-12,2024-08-20,TECHM.NS,A_breakout_40d,1520.1,6.0,1611.306,1628.6,7.14
2024-08-12,2024-08-20,TRENT.NS,A_breakout_40d,6375.0,6.0,6757.5,6793.8999,6.57
2024-07-25,2024-08-21,SBILIFE.NS,A_breakout_40d,1686.25,6.0,1787.425,1800.6,6.78
2024-07-26,2024-08-22,TVSMOTOR.NS,A_breakout_40d,2529.0,6.0,2680.74,2706.25,7.01
2024-07-31,2024-08-22,TVSMOTOR.NS,A_breakout_40d,2532.0,6.0,2683.92,2706.25,6.88
2024-02-09,2024-08-23,APOLLOHOSP.NS,A_breakout_40d,6464.8999,6.0,6852.7939,6860.7002,6.12
2024-07-25,2024-08-23,SUNPHARMA.NS,A_breakout_40d,1670.45,6.0,1770.677,1775.75,6.3
2024-08-01,2024-08-23,TVSMOTOR.NS,A_breakout_40d,2574.8,6.0,2729.288,2767.0,7.46
2024-01-12,2024-08-26,HCLTECH.NS,A_breakout_40d,1610.0,6.0,1706.6,1719.45,6.8
2024-07-26,2024-08-26,TECHM.NS,A_breakout_40d,1545.65,6.0,1638.389,1640.15,6.11
2023-11-30,2024-08-27,HDFCLIFE.NS,A_breakout_40d,694.05,6.0,735.693,739.55,6.56
2024-06-25,2024-08-27,SHRIRAMFIN.NS,A_breakout_40d,597.16,6.0,632.9896,645.89,8.16
2024-08-22,2024-08-28,BAJAJ-AUTO.NS,A_breakout_40d,9970.0,6.0,10568.2,10656.75,6.89
2024-03-11,2024-08-28,CIPLA.NS,A_breakout_40d,1512.0,6.0,1602.72,1618.2,7.02
2024-05-23,2024-08-28,INDIGO.NS,A_breakout_40d,4520.0,6.0,4791.2,4859.8501,7.52
2024-07-19,2024-08-28,INFY.NS,A_breakout_40d,1800.15,6.0,1908.159,1939.1,7.72
2024-08-19,2024-08-28,TRENT.NS,A_breakout_40d,6710.0,6.0,7112.6,7242.1001,7.93
2024-02-15,2024-08-29,BPCL.NS,A_breakout_40d,333.0,6.0,352.98,356.45,7.04
2024-06-03,2024-08-29,BPCL.NS,A_breakout_40d,335.0,6.0,355.1,356.45,6.4
2024-07-18,2024-08-30,APOLLOHOSP.NS,A_breakout_40d,6525.25,6.0,6916.765,6927.5,6.16
2024-07-26,2024-08-30,DIVISLAB.NS,A_breakout_40d,4804.0,6.0,5092.24,5093.8999,6.03
2024-07-26,2024-08-30,SUNPHARMA.NS,A_breakout_40d,1715.25,6.0,1818.165,1821.65,6.2
2024-07-29,2024-08-30,SUNPHARMA.NS,A_breakout_40d,1716.1,6.0,1819.066,1821.65,6.15
2024-08-13,2024-08-30,TVSMOTOR.NS,A_breakout_40d,2635.8,6.0,2793.948,2813.3,6.73
2024-08-23,2024-09-02,BAJAJ-AUTO.NS,A_breakout_40d,10375.0996,6.0,10997.6056,11126.0996,7.24
2024-04-05,2024-09-02,BAJAJFINSV.NS,A_breakout_40d,1690.0,6.0,1791.4,1840.55,8.91
2024-01-03,2024-09-02,ITC.NS,A_breakout_40d,462.1993,6.0,489.9313,491.1349,6.26
2024-07-26,2024-09-02,SBILIFE.NS,A_breakout_40d,1752.5,6.0,1857.65,1888.75,7.77
2023-12-14,2024-09-03,BAJAJFINSV.NS,A_breakout_40d,1738.95,6.0,1843.287,1865.6,7.28
2023-12-12,2024-09-03,HDFCLIFE.NS,A_breakout_40d,706.5,6.0,748.89,758.75,7.4
2024-08-21,2024-09-03,SBILIFE.NS,A_breakout_40d,1801.0,6.0,1909.06,1928.65,7.09
2024-03-26,2024-09-04,PIDILITIND.NS,A_breakout_40d,1515.575,6.0,1606.5095,1607.475,6.06
2024-07-08,2024-09-09,DABUR.NS,A_breakout_40d,622.05,6.0,659.373,662.35,6.48
2024-07-16,2024-09-09,HINDUNILVR.NS,A_breakout_40d,2700.0,6.0,2862.0,2921.8,8.21
2024-07-18,2024-09-09,HINDUNILVR.NS,A_breakout_40d,2739.0,6.0,2903.34,2921.8,6.67
2024-07-23,2024-09-09,HINDUNILVR.NS,A_breakout_40d,2748.0,6.0,2912.88,2921.8,6.32
2024-07-29,2024-09-10,DIVISLAB.NS,A_breakout_40d,4923.8501,6.0,5219.2811,5426.4502,10.21
2024-08-28,2024-09-10,DIVISLAB.NS,A_breakout_40d,5049.8999,6.0,5352.8939,5426.4502,7.46
2024-08-02,2024-09-11,ETERNAL.NS,A_breakout_40d,254.0,6.0,269.24,271.75,6.99
2024-02-12,2024-09-12,APOLLOHOSP.NS,A_breakout_40d,6614.4502,6.0,7011.3172,7061.7998,6.76
2024-08-29,2024-09-12,BAJAJ-AUTO.NS,A_breakout_40d,10835.0,6.0,11485.1,11723.5,8.2
2024-06-27,2024-09-12,BHARTIARTL.NS,A_breakout_40d,1536.25,6.0,1628.425,1646.75,7.19
2024-07-09,2024-09-12,BRITANNIA.NS,A_breakout_40d,5670.0498,6.0,6010.2528,6109.25,7.75
2024-08-07,2024-09-12,ETERNAL.NS,A_breakout_40d,265.0,6.0,280.9,283.9,7.13
2024-07-24,2024-09-12,ITC.NS,A_breakout_40d,471.8285,6.0,500.1382,500.2345,6.02
2024-04-25,2024-09-16,JSWSTEEL.NS,A_breakout_40d,910.0,6.0,964.6,971.0,6.7
2024-08-27,2024-09-16,SHRIRAMFIN.NS,A_breakout_40d,645.0,6.0,683.7,683.79,6.01
2024-09-02,2024-09-17,BAJAJ-AUTO.NS,A_breakout_40d,11105.9502,6.0,11772.3072,11950.2998,7.6
2024-06-05,2024-09-19,HEROMOTOCO.NS,A_breakout_40d,5655.1001,6.0,5994.4061,6006.0498,6.21
2024-06-12,2024-09-19,MAXHEALTH.NS,A_breakout_40d,910.5,6.0,965.13,984.85,8.17
2024-08-01,2024-09-20,ADANIGREEN.NS,A_breakout_40d,1868.95,6.0,1981.087,2003.95,7.22
2024-08-30,2024-09-20,BHARTIARTL.NS,A_breakout_40d,1605.0,6.0,1701.3,1711.75,6.65
2024-07-10,2024-09-20,BRITANNIA.NS,A_breakout_40d,5800.0,6.0,6148.0,6210.5498,7.08
2024-07-18,2024-09-20,BRITANNIA.NS,A_breakout_40d,5850.0,6.0,6201.0,6210.5498,6.16
2024-05-21,2024-09-20,JSWSTEEL.NS,A_breakout_40d,925.0,6.0,980.5,981.55,6.11
2024-09-17,2024-09-20,MAXHEALTH.NS,A_breakout_40d,964.7,6.0,1022.582,1067.95,10.7
2024-08-02,2024-09-23,APOLLOHOSP.NS,A_breakout_40d,6689.0,6.0,7090.34,7152.7998,6.93
2024-09-11,2024-09-23,BAJAJ-AUTO.NS,A_breakout_40d,11480.75,6.0,12169.595,12338.9502,7.48
2024-06-03,2024-09-23,BANKBEES.NS,A_breakout_40d,522.37,6.0,553.7122,556.57,6.55
2024-09-12,2024-09-23,BHARTIARTL.NS,A_breakout_40d,1651.0,6.0,1750.06,1750.45,6.02
2024-09-11,2024-09-23,ETERNAL.NS,A_breakout_40d,276.3,6.0,292.878,297.0,7.49
2024-05-24,2024-09-24,ADANIGREEN.NS,A_breakout_40d,1943.7,6.0,2060.322,2070.55,6.53
2024-05-27,2024-09-24,ADANIGREEN.NS,A_breakout_40d,1935.0,6.0,2051.1,2070.55,7.01
2024-09-02,2024-09-24,ADANIGREEN.NS,A_breakout_40d,1947.0,6.0,2063.82,2070.55,6.35
2024-09-17,2024-09-24,ADANIGREEN.NS,A_breakout_40d,1940.0,6.0,2056.4,2070.55,6.73
2024-09-12,2024-09-24,BAJAJ-AUTO.NS,A_breakout_40d,11723.5,6.0,12426.91,12443.6504,6.14
2024-07-30,2024-09-25,NTPC.NS,A_breakout_40d,409.5,6.0,434.07,436.1,6.5
2024-07-19,2024-09-26,BRITANNIA.NS,A_breakout_40d,5877.9502,6.0,6230.6272,6254.1001,6.4
2024-06-21,2024-09-26,JSWSTEEL.NS,A_breakout_40d,936.0,6.0,992.16,1005.55,7.43
