signal_date,ticker,pattern,close,sma50,sma200,prev_high_close,volume,vol_avg20,entry_price,entry_band_low,entry_band_high,stop_pct,stop_price,pattern_family,score_trend,score_setup,score_volume,score_rsi,score_risk,score_pattern,sma50_slope_pct,ma_slope_bonus,feature_recent_signal_count,feature_close_vs_prev_high_pct,feature_close_vs_sma50_pct,feature_gap_pct,feature_range_vs_atr,feature_gap_sequence_risk,feature_exhaustion_risk,pattern_bonus,score_penalty_crowding,score_penalty_extension,score_penalty_gap_shock,score_penalty_total,score_penalty_stop_risk,signal_score_pre_stop_risk_penalty,signal_score,signal_stop_risk,signal_stop_risk_5d,signal_gap_through_stop_risk,signal_mae_exceeds_stop_risk,signal_reliability_score,score_penalty_stop_risk_method,score_penalty_stop_risk_gated,consensus_count,signal_score_pre_lt_health,lt_health_points,lt_health_bonus,markov_state,markov_p_continuation,markov_p_adverse,score_markov_adjustment,signal_score_pre_markov,st_score,st_score_pre_model,markov_state_encoded
2024-01-11,BAJAJ-AUTO.NS,A_breakout_40d,7298.8501,6135.963,5044.6568,7093.8999,1031594,631773.6,7360.0,7286.4,7433.6,7.0,6844.8,A,100.0,73.1,72.7,78.2,58.0,59.9,2.92,3.0,1,2.8891,18.952,0.5139,1.2877,1.1085,17.4078,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.5,75.5,0.1477,0.0912,0.0745,0.1669,85,continuous_power,False,1,75.5,2,0.0,,0.0,0.0,0.0,75.5,32.4,31.1,0|0|0|0|0
2024-01-11,HEROMOTOCO.NS,A_breakout_40d,4342.2002,3671.706,3063.2492,4173.25,2133475,800361.5,4242.6499,4200.2234,4285.0764,7.0,3945.6644,A,100.0,82.4,93.3,75.6,58.0,59.9,2.78,3.0,0,4.0484,18.2611,0.8929,2.1056,1.9985,20.6751,18.0,-0.0,-0.0,-0.0,-0.0,0.0,80.0,80.0,0.1314,0.1154,0.0787,0.1411,87,continuous_power,False,1,80.0,2,0.0,,0.0,0.0,0.0,80.0,43.8,31.2,0|0|0|0|0
2024-01-11,RELIANCE.NS,A_breakout_40d,1359.9,1228.349,1187.7023,1325.05,23725852,11897683.8,1359.9,1346.301,1373.499,7.0,1264.707,A,67.1,71.0,79.9,76.7,58.0,59.9,1.5,3.0,0,2.6301,10.7096,0.3358,1.6217,1.7075,12.6124,18.0,-0.0,-0.0,-0.0,-0.0,0.0,69.4,69.4,0.1289,0.0815,0.0745,0.1353,87,continuous_power,False,1,69.4,2,0.0,,0.0,0.0,0.0,69.4,34.9,31.1,0|0|0|0|0
2024-01-11,SHRIRAMFIN.NS,A_breakout_40d,455.95,406.5764,348.1573,439.27,14663945,7047330.75,458.56,453.9744,463.1456,7.0,426.4608,A,100.0,80.4,81.6,71.1,58.0,59.9,1.65,3.0,0,3.7972,12.1437,3.1605,1.567,4.1467,16.0613,18.0,-0.0,-0.0,-0.0,-0.0,0.0,77.9,77.9,0.1434,0.1154,0.0745,0.1575,86,continuous_power,False,1,77.9,2,0.0,,0.0,0.0,0.0,77.9,25.9,31.1,0|0|0|0|0
2024-01-11,TATAPOWER.NS,A_breakout_40d,357.3,296.798,244.258,346.45,33499272,19358661.9,361.65,358.0335,365.2665,7.0,336.3345,A,100.0,75.1,74.6,76.0,58.0,59.9,3.75,3.0,1,3.1318,20.3849,0.8659,1.3181,1.5955,17.3328,18.0,-0.0,-0.0,-0.0,-0.0,0.0,76.1,76.1,0.1477,0.1084,0.0745,0.1669,85,continuous_power,False,1,76.1,2,0.0,,0.0,0.0,0.0,76.1,32.4,31.1,0|0|0|0|0
2024-01-12,HCLTECH.NS,A_breakout_40d,1540.8,1375.949,1211.938,1504.3,5862043,2793016.7,1610.0,1593.9,1626.1,7.0,1497.3,A,100.0,69.4,82.0,69.8,58.0,59.9,1.71,3.0,0,2.4264,11.9809,1.3604,1.8402,2.5712,13.3855,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.8,75.8,0.1314,0.0912,0.0745,0.1411,87,continuous_power,False,1,75.8,2,0.0,,0.0,0.0,0.0,75.8,36.9,31.1,0|0|0|0|0
2024-01-12,INFY.NS,A_breakout_40d,1612.75,1477.389,1394.1595,1578.4,26754401,7581904.45,1644.95,1628.5005,1661.3995,7.0,1529.8035,A,79.8,67.4,100.0,64.3,58.0,59.9,1.13,3.0,0,2.1763,9.1622,4.5375,1.7257,5.6747,11.4154,18.0,-0.0,-0.0,-0.0,-0.0,0.0,73.5,73.5,0.1289,0.0815,0.0815,0.1353,87,continuous_power,False,1,73.5,2,0.0,,0.0,0.0,0.0,73.5,39.8,31.2,0|0|0|0|0
2024-01-12,ONGC.NS,A_breakout_40d,223.4,200.302,177.186,217.95,39228118,19937329.45,228.5,226.215,230.785,7.0,212.505,A,100.0,70.0,79.4,71.2,58.0,59.9,1.59,3.0,0,2.5006,11.5316,0.9205,2.2342,2.7818,12.451,18.0,-0.0,-0.0,-0.0,-0.0,0.0,75.6,75.6,0.1329,0.0912,0.0745,0.1575,87,continuous_power,False,1,75.6,2,0.0,,0.0,0.0,0.0,75.6,34.9,31.1,0|0|0|0|0
2024-01-12,TATACONSUM.NS,A_breakout_40d,1159.0,981.064,863.458,1125.55,6018282,2184342.85,1190.0,1178.1,1201.9,7.0,1106.7,A,100.0,73.8,95.1,81.8,58.0,59.9,2.41,3.0,0,2.9719,18.137,0.5539,1.6014,1.347,17.044,18.0,-0.0,-0.0,-0.0,-0.0,0.0,78.7,78.7,0.1314,0.0912,0.0745,0.1411,87,continuous_power,False,1,78.7,2,0.0,,0.0,0.0,0.0,78.7,32.4,31.1,0|0|0|0|0
2024-01-12,TCS.NS,A_breakout_40d,3882.8,3601.666,3413.2702,3861.0,6813450,2363386.4,3960.0,3920.4,3999.6,7.0,3682.8,A,77.6,54.5,97.7,65.3,58.0,59.9,1.05,3.0,0,0.5646,7.8057,3.0103,1.2155,3.4691,7.9263,18.0,-0.0,-0.0,-0.0,-0.0,0.0,70.2,70.2,0.1289,0.0815,0.0815,0.1353,87,continuous_power,False,1,70.2,2,0.0,,0.0,0.0,0.0,70.2,45.8,31.2,0|0|0|0|0
