buy_signal_date,ticker,pattern,entry_price,stop_price,status,entered_date,closed_date,last_updated
2024-08-01,TVSMOTOR.NS,A_breakout_40d,2574.8,2394.564,Closed,,2026-03-29,2026-03-29
2024-08-02,APOLLOHOSP.NS,A_breakout_40d,6689.0,6220.77,Closed,,2026-03-29,2026-03-29
2024-08-02,ETERNAL.NS,A_breakout_40d,254.0,236.22,Closed,,2026-03-29,2026-03-29
2024-08-07,ETERNAL.NS,A_breakout_40d,265.0,246.45,Closed,,2026-03-29,2026-03-29
2024-08-09,TRENT.NS,A_breakout_40d,6302.9502,5861.7437,Closed,,2026-03-29,2026-03-29
2024-08-12,TRENT.NS,A_breakout_40d,6375.0,5928.75,Closed,,2026-03-29,2026-03-29
2024-08-13,TVSMOTOR.NS,A_breakout_40d,2635.8,2451.294,Closed,,2026-03-29,2026-03-29
2024-08-19,TRENT.NS,A_breakout_40d,6710.0,6240.3,Closed,,2026-03-29,2026-03-29
2024-08-21,SBILIFE.NS,A_breakout_40d,1801.0,1674.93,Closed,,2026-03-29,2026-03-29
2024-08-22,BAJAJ-AUTO.NS,A_breakout_40d,9970.0,9272.1,Closed,,2026-03-29,2026-03-29
2024-08-23,BAJAJ-AUTO.NS,A_breakout_40d,10375.0996,9648.8426,Closed,,2026-03-29,2026-03-29
2024-08-23,INDIGO.NS,A_breakout_40d,4718.0,4387.74,Closed,,2026-03-29,2026-03-29
2024-08-23,TVSMOTOR.NS,A_breakout_40d,2781.7,2586.981,Closed,,2026-03-29,2026-03-29
2024-08-26,HINDALCO.NS,A_breakout_40d,711.9,662.067,Closed,,2026-03-29,2026-03-29
2024-08-27,SBILIFE.NS,A_breakout_40d,1838.75,1710.0375,Closed,,2026-03-29,2026-03-29
2024-08-27,SHRIRAMFIN.NS,A_breakout_40d,645.0,599.85,Closed,,2026-03-29,2026-03-29
2024-08-28,DIVISLAB.NS,A_breakout_40d,5049.8999,4696.4069,Closed,,2026-03-29,2026-03-29
2024-08-28,INDIGO.NS,A_breakout_40d,4731.1001,4399.9231,Closed,,2026-03-29,2026-03-29
2024-08-28,TRENT.NS,A_breakout_40d,7269.9502,6761.0537,Closed,,2026-03-29,2026-03-29
2024-08-29,BAJAJ-AUTO.NS,A_breakout_40d,10835.0,10076.55,Closed,,2026-03-29,2026-03-29
2024-08-29,CIPLA.NS,A_breakout_40d,1615.0,1501.95,New,,,2026-03-29
2024-08-29,HCLTECH.NS,A_breakout_40d,1751.85,1629.2205,Closed,,2026-03-29,2026-03-29
2024-08-30,BHARTIARTL.NS,A_breakout_40d,1605.0,1492.65,Closed,,2026-03-29,2026-03-29
2024-08-30,CIPLA.NS,A_breakout_40d,1669.0,1552.17,New,,,2026-03-29
2024-08-30,HCLTECH.NS,A_breakout_40d,1764.2,1640.706,Closed,,2026-03-29,2026-03-29
2024-08-30,INDUSTOWER.NS,A_breakout_40d,460.0,427.8,New,,,2026-03-29
2024-08-30,INFY.NS,A_breakout_40d,1943.35,1807.3155,New,,,2026-03-29
2024-08-30,SBILIFE.NS,A_breakout_40d,1850.3,1720.779,Closed,,2026-03-29,2026-03-29
2024-08-30,TCS.NS,A_breakout_40d,4576.0,4255.68,New,,,2026-03-29
2024-09-02,ADANIGREEN.NS,A_breakout_40d,1947.0,1810.71,Closed,,2026-03-29,2026-03-29
2024-09-02,BAJAJ-AUTO.NS,A_breakout_40d,11105.9502,10328.5337,Closed,,2026-03-29,2026-03-29
2024-09-02,HCLTECH.NS,A_breakout_40d,1806.0,1679.58,Closed,,2026-03-29,2026-03-29
2024-09-02,SBILIFE.NS,A_breakout_40d,1890.0,1757.7,Closed,,2026-03-29,2026-03-29
2024-09-03,SBILIFE.NS,A_breakout_40d,1910.0,1776.3,Closed,,2026-03-29,2026-03-29
2024-09-04,ASIANPAINT.NS,A_breakout_40d,3240.0,3013.2,New,,,2026-03-29
2024-09-04,PIDILITIND.NS,A_breakout_40d,1607.475,1494.9517,New,,,2026-03-29
2024-09-06,ASIANPAINT.NS,A_breakout_40d,3273.7,3044.541,New,,,2026-03-29
2024-09-09,DABUR.NS,A_breakout_40d,669.35,622.4955,New,,,2026-03-29
2024-09-09,HINDUNILVR.NS,A_breakout_40d,2934.0,2728.62,New,,,2026-03-29
2024-09-09,PIDILITIND.NS,A_breakout_40d,1642.0,1527.06,New,,,2026-03-29
2024-09-10,DABUR.NS,A_breakout_40d,668.0,621.24,New,,,2026-03-29
2024-09-10,DIVISLAB.NS,A_breakout_40d,5405.0,5026.65,Closed,,2026-03-29,2026-03-29
2024-09-11,ASIANPAINT.NS,A_breakout_40d,3370.0,3134.1,New,,,2026-03-29
2024-09-11,BAJAJ-AUTO.NS,A_breakout_40d,11480.75,10677.0975,Closed,,2026-03-29,2026-03-29
2024-09-11,BRITANNIA.NS,A_breakout_40d,6018.6499,5597.3444,Closed,,2026-03-29,2026-03-29
2024-09-11,ETERNAL.NS,A_breakout_40d,276.3,256.959,Closed,,2026-03-29,2026-03-29
2024-09-12,APOLLOHOSP.NS,A_breakout_40d,7096.2002,6599.4662,Closed,,2026-03-29,2026-03-29
2024-09-12,BAJAJ-AUTO.NS,A_breakout_40d,11723.5,10902.855,Closed,,2026-03-29,2026-03-29
2024-09-12,BHARTIARTL.NS,A_breakout_40d,1651.0,1535.43,Closed,,2026-03-29,2026-03-29
2024-09-12,BRITANNIA.NS,A_breakout_40d,6138.0,5708.34,New,,,2026-03-29
2024-09-12,ITC.NS,A_breakout_40d,500.2345,465.2181,New,,,2026-03-29
2024-09-12,KOTAKBANK.NS,A_breakout_40d,367.4,341.682,Closed,,2026-03-29,2026-03-29
2024-09-12,SHRIRAMFIN.NS,A_breakout_40d,679.94,632.3442,Closed,,2026-03-29,2026-03-29
2024-09-13,PIDILITIND.NS,A_breakout_40d,1660.0,1543.8,New,,,2026-03-29
2024-09-17,ADANIGREEN.NS,A_breakout_40d,1940.0,1804.2,Closed,,2026-03-29,2026-03-29
2024-09-17,HEROMOTOCO.NS,A_breakout_40d,5985.2998,5566.3288,Closed,,2026-03-29,2026-03-29
2024-09-17,MAXHEALTH.NS,A_breakout_40d,964.7,897.171,Closed,,2026-03-29,2026-03-29
2024-09-18,HEROMOTOCO.NS,A_breakout_40d,6000.0,5580.0,New,,,2026-03-29
2024-09-18,SHRIRAMFIN.NS,A_breakout_40d,714.31,664.3083,Closed,,2026-03-29,2026-03-29
2024-09-19,ADANIGREEN.NS,A_breakout_40d,1962.95,1825.5435,New,,,2026-03-29
2024-09-19,NESTLEIND.NS,A_breakout_40d,1322.0,1229.46,Closed,,2026-04-25,2026-04-25
2024-09-19,NTPC.NS,A_breakout_40d,428.05,398.0865,New,,,2026-03-29
2024-09-20,ADANIGREEN.NS,A_breakout_40d,2028.95,1886.9235,New,,,2026-03-29
2024-09-20,AXISBANK.NS,A_breakout_40d,1251.5,1163.895,Closed,,2026-03-29,2026-03-29
2024-09-20,BHARTIARTL.NS,A_breakout_40d,1719.0,1598.67,Closed,,2026-03-29,2026-03-29
2024-09-20,BRITANNIA.NS,A_breakout_40d,6235.25,5798.7825,New,,,2026-03-29
2024-09-20,HINDUNILVR.NS,A_breakout_40d,2980.0,2771.4,New,,,2026-03-29
2024-09-20,ICICIBANK.NS,A_breakout_40d,1331.0,1237.83,Closed,,2026-03-29,2026-03-29
